epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,5140.06,0.68848,0.66578,0.47178,0.00231,0.07575,0.96822,0.94579,0.97403,0.87883,0.97101,0.94591,0.97608,0.8127,0.47079,0.60891,0.2379,0.0026,0,0.01482,0.00494,0.01482,0.00494,0.01482,0.00494,0.01482,0.00494
48,5247.41,0.67864,0.67748,0.45913,0.00228,0.07214,0.96437,0.94111,0.9722,0.87854,0.96745,0.9448,0.97606,0.81508,0.46486,0.60529,0.23825,0.0026,0,0.01449,0.00483,0.01449,0.00483,0.01449,0.00483,0.01449,0.00483
49,5355.33,0.66658,0.64863,0.44359,0.00226,0.07229,0.96692,0.93856,0.97247,0.87509,0.97036,0.94192,0.97727,0.81763,0.47101,0.60602,0.2402,0.0026,0,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
50,5461.35,0.66397,0.65835,0.44204,0.00223,0.07358,0.96805,0.9421,0.97511,0.88315,0.97027,0.94371,0.97761,0.81661,0.45841,0.60211,0.23196,0.00253,0,0.01383,0.00461,0.01383,0.00461,0.01383,0.00461,0.01383,0.00461
51,5569.06,0.65507,0.65802,0.43882,0.00221,0.06861,0.9593,0.94893,0.97333,0.88066,0.96156,0.95121,0.97742,0.81637,0.46576,0.60102,0.2411,0.0026,0,0.0135,0.0045,0.0135,0.0045,0.0135,0.0045,0.0135,0.0045
52,5675.05,0.67779,0.64398,0.45706,0.00224,0.07175,0.96741,0.94075,0.97417,0.8819,0.96997,0.94319,0.97722,0.81584,0.46248,0.59217,0.23654,0.00255,0,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
53,5781.15,0.64835,0.65418,0.43057,0.00217,0.06724,0.95676,0.9545,0.97262,0.8784,0.96156,0.95789,0.97675,0.81795,0.46551,0.5916,0.23371,0.00256,0,0.01284,0.00428,0.01284,0.00428,0.01284,0.00428,0.01284,0.00428
54,5889.15,0.64407,0.63299,0.41833,0.00218,0.06487,0.96509,0.95792,0.97532,0.88235,0.96968,0.96234,0.97779,0.81644,0.46521,0.58859,0.22518,0.00256,0,0.01251,0.00417,0.01251,0.00417,0.01251,0.00417,0.01251,0.00417
55,6001.49,0.65249,0.63453,0.43145,0.00216,0.06748,0.97536,0.93841,0.97409,0.88667,0.97947,0.94233,0.97868,0.82011,0.45482,0.62825,0.227,0.0025,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
56,6110.13,0.64585,0.64905,0.40971,0.00213,0.0597,0.96794,0.94639,0.97273,0.88334,0.97192,0.95034,0.97749,0.819,0.45621,0.60104,0.23153,0.0025,0,0.01185,0.00395,0.01185,0.00395,0.01185,0.00395,0.01185,0.00395
57,6220.45,0.63491,0.62428,0.39206,0.00211,0.05994,0.967,0.95225,0.97335,0.88384,0.97065,0.95568,0.97773,0.8189,0.45473,0.5903,0.22196,0.00251,0,0.01152,0.00384,0.01152,0.00384,0.01152,0.00384,0.01152,0.00384
58,6327.92,0.63347,0.63125,0.3994,0.00208,0.05785,0.97347,0.95052,0.97483,0.88837,0.97744,0.95406,0.97925,0.82224,0.44682,0.59114,0.21173,0.00244,0,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
59,6434.75,0.62628,0.61869,0.38374,0.00203,0.05694,0.96628,0.95686,0.97564,0.88998,0.9704,0.96101,0.97938,0.82461,0.44973,0.58684,0.20883,0.00246,0,0.01086,0.00362,0.01086,0.00362,0.01086,0.00362,0.01086,0.00362
60,6541.71,0.62951,0.63315,0.39318,0.00204,0.05786,0.98128,0.94853,0.97722,0.8917,0.98516,0.95212,0.97953,0.82447,0.4455,0.57691,0.20871,0.00245,0,0.01053,0.00351,0.01053,0.00351,0.01053,0.00351,0.01053,0.00351
61,6648.96,0.60625,0.60414,0.36338,0.00199,0.05462,0.97235,0.95515,0.97667,0.89343,0.97755,0.95868,0.97976,0.82585,0.4416,0.58062,0.21462,0.00242,0,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
62,6756.4,0.6204,0.63238,0.38056,0.00201,0.05641,0.97723,0.9509,0.97531,0.89261,0.98084,0.95448,0.97931,0.82132,0.43848,0.58839,0.22357,0.00241,0,0.00987,0.00329,0.00987,0.00329,0.00987,0.00329,0.00987,0.00329
63,6864.31,0.60084,0.60977,0.3704,0.00196,0.05709,0.97368,0.95368,0.97565,0.89279,0.97692,0.95689,0.9795,0.82159,0.44233,0.59002,0.2124,0.00245,0,0.00954,0.00318,0.00954,0.00318,0.00954,0.00318,0.00954,0.00318
64,6970.84,0.59607,0.61769,0.36249,0.00196,0.05231,0.97442,0.95241,0.97599,0.89525,0.97827,0.9552,0.97939,0.82662,0.43397,0.57316,0.21878,0.00238,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
65,7077.44,0.58508,0.60012,0.34886,0.0019,0.0519,0.97645,0.94942,0.97624,0.89434,0.97776,0.95364,0.97937,0.82427,0.43411,0.59639,0.21351,0.00236,0,0.00888,0.00296,0.00888,0.00296,0.00888,0.00296,0.00888,0.00296
66,7184.43,0.5859,0.5966,0.35001,0.00193,0.0513,0.97038,0.95499,0.97602,0.89564,0.97553,0.9592,0.97981,0.82728,0.43331,0.59384,0.21094,0.00236,0,0.00855,0.00285,0.00855,0.00285,0.00855,0.00285,0.00855,0.00285
67,7293.83,0.57956,0.59647,0.33786,0.0019,0.04694,0.97514,0.96078,0.97933,0.89824,0.97772,0.96294,0.9804,0.82772,0.43129,0.59468,0.19945,0.00235,0,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
68,7400.31,0.57751,0.59135,0.33842,0.00189,0.04756,0.97455,0.95547,0.97868,0.89658,0.97558,0.95677,0.97993,0.82806,0.43269,0.59523,0.20224,0.00236,0,0.00789,0.00263,0.00789,0.00263,0.00789,0.00263,0.00789,0.00263
