epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
88,102044,0.06543,0.17742,0.01758,0.93427,0.99627,0.0123,0.30285,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,103212,0.0691,0.18643,0.0182,0.93223,0.99618,0.01236,0.30483,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,104380,0.06464,0.17746,0.01731,0.93197,0.99617,0.01254,0.30329,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,105452,0.02732,0.07245,0.00795,0.93215,0.9962,0.01292,0.24294,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,106521,0.02365,0.03588,0.00718,0.93314,0.99624,0.01311,0.16223,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,107591,0.01927,0.03404,0.00648,0.93438,0.9963,0.01304,0.09971,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,108658,0.01979,0.03315,0.00656,0.93491,0.99634,0.01291,0.06024,0,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,109728,0.01839,0.0315,0.00629,0.93568,0.99639,0.01289,0.0383,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,110797,0.01712,0.0302,0.00599,0.93616,0.99642,0.01274,0.02634,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,111864,0.01834,0.02954,0.0063,0.93646,0.99644,0.0127,0.01916,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,112936,0.01503,0.0286,0.00568,0.93685,0.99646,0.0127,0.01517,0,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,114009,0.01552,0.02916,0.0058,0.93714,0.99648,0.01265,0.01247,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,115077,0.01674,0.02923,0.00589,0.93743,0.9965,0.01259,0.01074,0,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
